IATA,ICAO,Airline,Call sign,Country/Region,Comments
0A,GNT,Amber Air,GINTA,Lithuania,
0B,BLA,Blue Air,BLUE AIR,Romania,
0C,IBL,IBL Aviation,CATOVAIR,Mauritius,
0D,DWT,Darwin Airline,DARWIN,Switzerland,
0V,VFC,Vietnam Air Services Company (VASCO),VASCO AIR,Vietnam,
1A,n/a,Amadeus IT Group S.A.,n/a,Global,GDS and airline hosting system (CRS/PSS)
1A,AGT,Amadeus IT Group,AMADEUS,Spain,
1B,n/a,Sabre travel network Asia-Pacific (ex-Abacus),n/a,APAC,Regional distribution
1B,,Abacus International,,Singapore,Computer reservation system
1C,,Electronic Data Systems,,Switzerland,
1D,,Radixx,,United States,
1E,n/a,Travelsky,n/a,China,Local distribution system and hosting system (CRS/PSS)
1E,,Travelsky Technology,,China,
1F,n/a,"Infini travel information, Inc.",n/a,Japan,Local distribution system (CRS)
1F,,INFINI Travel Information,,Japan,Computer Reservation System
1G,n/a,Travelport (Galileo core),n/a,Global,GDS (CRS)
1G,,Galileo International,,United States,
1H,n/a,Sirena travel,n/a,Russia,Local distribution system (CRS) and PSS
1H,,Siren-Travel,,Russia,
1I,AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany,
1I,EJA,NetJets,EXECJET,United States,
1I,NVR,Novair,NAVIGATOR,Sweden,
1I,NJE,NetJets Europe,FRACTION,Portugal,
1I,,Pegasus Hava Tasimaciligi,Sunturk,Turkey,
1I,,Sierra Nevada Airlines,,United States,
1I,PZR,Sky Trek International Airlines,PHAZER,United States,
1J,n/a,"Axess international network, Inc.",n/a,Japan,Local distribution system (CRS)
1K,,Southern Cross Distribution,,Australia,
1K,,Sutra,,United States,
1L,OSY,Open Skies Consultative Commission,OPEN SKIES,United States,
1M,n/a,Sirin,n/a,Russia,Local distribution system (CRS) and PSS
1N,,Navitaire,,United States,
1P,n/a,Travelport (Worldspan core),n/a,Global,GDS (CRS)
1P,,Worldspan,,United States,
1Q,,Sirena,,Russia,
1R,,Hainan Phoenix Information Systems,,China,
1S,n/a,Sabre travel network,n/a,Global,GDS and airline hosting system (CRS/PSS)
1S,,Sabre,,United States,
1T,n/a,Hitit Computer Services,n/a,Turkey,Computer reservation system
1T,BUC,Bulgarian Air Charter,BULGARIAN CHARTER,Bulgaria,
1U,n/a,Google/ITA,n/a,United States,Airline IT provider
1U,,ITA Software,,United States,Computer reservation system
1U,,Polyot Sirena,,Russia,
1Y,,Electronic Data Systems,,United States,
1Z,APD,Sabre Pacific,,Australia,
2A,,Deutsche Bahn,,Germany,
2B,AWT,Albawings,ALBAWINGS,Albania,
2C,,SNCF,,France,
2D,AOG,Aero VIP,AVIP,Argentina,defunct
2F,FTA,Frontier Flying Service,FRONTIER-AIR,United States,
2G,CRG,Cargoitalia,WHITE PELICAN,Italy,
2G*,MRR,San Juan Airlines,MARINER,United States,
2H,,Thalys,,Belgium,"Not an airline (train).
Used for codesharing"
2J,VBW,Air Burkina,BURKINA,Burkina Faso,
2K,GLG,Aerogal,AEROGAL,Ecuador,Aerolíneas Galápagos SA
2L,OAW,Helvetic Airways,HELVETIC,Switzerland,
2M,MDV,Moldavian Airlines,MOLDAVIAN,Moldova,
2N,NTJ,NextJet,NEXTJET,Sweden,
2N,UMK,Yuzhmashavia,YUZMASH,Ukraine,
2O,RNE,Air Salone,AIR SALONE,Sierra Leone,
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines,
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,United States,
2R,,Via Rail Canada,,Canada,
2S,SDY,Island Express,SANDY ISLE,United States,
2S,,Star Equatorial Airlines,,Guinea,
2S,TGR,Satgur Air Transport,SATGURAIR,Liberia,defunct
2T,TBS,Timbis Air,,Kenya,
2T,HAM,Haiti Ambassador Airlines,,Haiti,
2U,GIP,Air Guinee Express,FUTURE EXPRESS,Guinea,
2V*,,Amtrak,,United States,Train services only
2W,WLC,Welcome Air,WELCOMEAIR,Austria,
2Z,CGN,Chang An Airlines,CHANGAN,China,
3C,CMV,Calima Aviación,CALIMA,Spain,
3C,CEA,RegionsAir,CORP-X,United States,formerly Corporate Airlines
3G,AYZ,Atlant-Soyuz Airlines,ATLANT-SOYUZ,Russia,defunct
3J,JUB,Jubba Airways,,Kenya,Registered in Kenya but operates in Somalia
3J,AAQ,Air Alliance,LIAISON,Canada,defunct
3J,WZP,Zip,ZIPPER,Canada,ICAO Code and callsign no longer allocated
3L,ISK,Intersky,INTERSKY,Austria,
3N,URG,Air Urga,URGA,Ukraine,
3O,MAC,Air Arabia Maroc,ARABIA MAROC,Morocco,This ICAO designator was previously used by Malta Air Charter
3P,TNM,Tiara Air,TIARA,Aruba,
3Q,CYH,China Yunnan Airlines,YUNNAN,China,defunct
3Q,KCH,KC International Airlines,CAM AIR,Cambodia,
3R,GAI,Moskovia Airlines,GROMOV AIRLINE,Russia,JSC
3S,BOX,Aerologic,GERMAN CARGO,Germany,
3S,GUY,Air Guyane Express,GREEN BIRD,French Guyana,
3S*,AEN,Aeroland Airways,,Greece,"defunct, ICAO code no longer allocated"
3T,URN,Turan Air,TURAN,Azerbaijan,
3U,CSC,Sichuan Airlines,SI CHUAN,China,
3V,TAY,TNT Airways,QUALITY,Belgium,
3W,EMX,Euromanx Airways,EUROMANX,Austria,
3W*,VNR,Wan Air,WANAIR,French Polynesia,defunct
4A,AKL,Air Kiribati,,Kiribati,
4C,ARE,"Aires, Aerovías de Integración Regional, S.A.",AIRES,Colombia,renamed to LAN Colombia
4D,ASD,Air Sinai,,Egypt,
4D,ASD,Air Sinai,AIR SINAI,Egypt,
4F,ECE,Air City,AIRCITY,Germany,
4G,GZP,Gazpromavia,GAZPROMAVIA,Russia,
4G*,,Advance Leasing Company,,United States,
4H,UBD,United Airways,UNITED BANGLADESH,Bangladesh,
4K*,AAS,Askari Aviation,AL-ASS,Pakistan,
4M,DSM,LATAM Argentina,LAN AR,Argentina,
4N,ANT,Air North Charter - Canada,AIR NORTH,Canada,
4O,AIJ,Interjet,ABC Aerolineas,Mexico,
4O,AIJ,Interjet,ABC AEROLINEAS,Mexico,
4R,SEK,Star East Airline,,Romania,
4R,HHI,Hamburg International,HAMBURG JET,Germany,
4S,FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo,
4T,BHP,Belair Airlines,BELAIR,Switzerland,
4U,GWI,Germanwings,GERMAN WINGS,Germany,
4Y,AIB,Airbus Industrie,AIRBUS INDUSTRIE,France,
4Y,BGA,Airbus Transport International,BELUGA,France,
4Y,RBU,Airbus France,AIRBUS FRANCE,France,
4Y,UYA,Yute Air Alaska,,United States,
5A,AIP,Alpine Air Express,ALPINE AIR,United States,
5C,ICL,CAL Cargo Air Lines,CAL,Israel,
5D,SLI,Aeroméxico Connect,COSTERA,Mexico,
5D,UDC,DonbassAero,DONBASS AERO,Ukraine,
5F,CIR,Arctic Circle Air Service,AIR ARCTIC,United States,
5F,FIA,Fly One,Fly One,Moldova,Allocated in 2016
5G,SSV,Skyservice Airlines,SKYTOUR,Canada,defunct
5J,CEB,Cebu Pacific,CEBU,Philippines,
5K,HFY,Hi Fly,SKY FLYER,Portugal,
5L,RSU,AeroSur,AEROSUR,Bolivia,
5M,MNT,Montserrat Airways,MONTSERRAT,Montserrat,
5M,SIB,Sibaviatrans,SIBAVIA,Russia,
5N,AUL,Nordavia,ARCHANGELSK AIR,Russia,
5O,FPO,Europe Airpost,FRENCH POST,France,
5P,LLX,Small Planet Airlines,GERMANJET,Germany,defunct
5T,MPE,Canadian North,EMPRESS,Canada,Air Norterra
5V,UKW,Lviv Airlines,UKRAINE WEST,Ukraine,
5W,AEU,Astraeus,FLYSTAR,United Kingdom,"defunct, ICAO code no longer allocated"
5X,UPS,United Parcel Service,UPS,United States,
5Y,GTI,Atlas Air,GIANT,United States,
5Z,AFX,Airfreight Express,,United Kingdom,Ceased operations 08/03/2002
5Z,BML,Bismillah Airlines,BISMILLAH,Bangladesh,IATA code in use by another company
5Z,KEM,CemAir,CEMAIR,South Africa,
5Z,GON,Gonini Air Services,GONINI,Suriname,defunct
6A,CHP,Aviacsa,AVIACSA,Mexico,
6B,BLX,TUIfly Nordic,BLUESCAN,Sweden,
6E,IGO,IndiGo Airlines,IFLY,India,Interglobe Aviation
6G,AWW,Air Wales,RED DRAGON,United Kingdom,"defunct, ICAO code no longer allocated"
6H,ISR,Israir,ISRAIR,Israel,
6I,IBZ,International Business Air,INTERBIZ,Sweden,was U5
6J,SNJ,Skynet Asia Airways,NEWSKY,Japan,
6K,RIT,Asian Spirit,ASIAN SPIRIT,Philippines,
6N,NIN,Niger Airlines,NIGER AIRLINES,Niger,
6N,NRD,Nordic Regional,NORTH RIDER,Sweden,
6P,ISG,Club Air,CLUBAIR,Italy,
6Q,SLL,Slovak Airlines,SLOV LINE,Slovakia,
6R,DRU,Alrosa Air Company,MIRNY,Russia,
6U,ACX,Air Cargo Germany,LOADMASTER,Germany,defunct
6U,UKR,Air Ukraine,AIR UKRAINE,Ukraine,
6V,VGA,Air Vegas,AIR VEGAS,United States,defunct
6V,AXY,Axis Airways,AXIS,France,defunct
6V,MRW,Mars RK,AVIAMARS,Ukraine,
6W,SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia,
6Y,ART,Smartlynx Airlines,SMART LYNX,Latvia,
6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine,
7A,XRC,Express Air Cargo,,Tunisia,
7A,AZY,Aztec Worldwide Airlines,AZTEC WORLD,United States,
7A,XRC,Express Air Cargo,TUNISIA CARGO,Tunisia,
7B,KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia,defunct
7C,COY,Coyne Aviation,COYNE AIR,United Kingdom,
7E,AWU,Sylt Air GmbH,SYLT-AIR,Germany,
7F,FAB,First Air,FIRST AIR,Canada,
7G,SFJ,Star Flyer,STARFLYER,Japan,
7K,KGL,Kogalymavia Air Company,KOGALYM,Russia,
7L,AZG,Silk Way West Airlines,SILK WEST,Azerbaijan,
7L,ERO,Sun D'Or,ECHO ROMEO,Israel,
7M,MYI,Mayair,MAYAIR,Mexico,
7N,PWD,Pawa Dominicana,Pawa Dominicana,Dominican Republic,
7N,PWD,PAWA Dominicana,,Dominican Republic,
7O,GAL,Galaxy Air,GALAXY,Kyrgyzstan,
7O[51],TVL,Travel Service,TRAVEL SERVICE,Hungary,
7R,BRB,BRA-Transportes Aéreos,BRA-TRANSPAEREOS,Brazil,
7S,RYA,Ryan Air Services,RYAN AIR,United States,
7S,RCT,Ryan Air Services,ARCTIC TRANSPORT,United States,
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland,
7T,TOB,Tobruk Air,TOBRUK AIR,Libya,
7W,QGA,Windrose Air,QUADRIGA,Germany,
8A,BMM,Atlas Blue,ATLAS BLUE,Morocco,defunct
8B,GFI,Caribbean Star Airlines,CARIB STAR,Antigua and Barbuda,
8C,ATN,Air Transport International,AIR TRANSPORT,United States,
8C,HZT,Air Horizon,HORIZON TOGO,Togo,
8C,CXI,Shanxi Airlines,SHANXI,China,
8D,EXV,FitsAir,EXPOAVIA,Sri Lanka,
8D,,Servant Air,,United States,
8D*,SUW,Astair,,Russian Federation,Name changed to Interavia Airlines
8E,BRG,Bering Air,BERING AIR,United States,
8F,FFR,Fischer Air,FISCHER,Czech Republic,
8H,BGH,BH Air,BALKAN HOLIDAYS,Bulgaria,
8I,,Myway Airlines,,Italy,
8J,KMV,Komiinteravia,KOMIINTER,Russia,
8L,CGP,Cargo Plus Aviation,,United Arab Emirates,
8L,RHC,Redhill Aviation,REDAIR,United Kingdom,
8M,MXL,Maxair,MAXAIR,Sweden,
8M,MMA,Myanmar Airways International,MYANMAR,Myanmar,
8N,NKF,Barents AirLink,NORDFLIGHT,Sweden,previously Nordkalottflyg
8O,YWZ,West Coast Air,COAST AIR,Canada,
8P,PCO,Pacific Coastal Airlines,PASCO,Canada,
8Q,OHY,Onur Air,ONUR AIR,Turkey,
8Q,,Princess Air,,,no longer assigned
8Q*,BAJ,Baker Aviation,RODEO,United States,
8S,,Scorpio Aviation,,,
8T,TID,Air Tindi,,Canada,
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya,
8V,ACP,Astral Aviation,ASTRAL CARGO,Kenya,
8V,WRF,Wright Air Service,WRIGHT FLYER,United States,
8W,EDR,Fly All Ways,BIRDVIEW,Suriname,
8W,PWF,Private Wings Flugcharter,PRIVATE WINGS,Germany,
8W?,,BAX Global,,,
8Y,PBU,Air Burundi,AIR-BURUNDI,Burundi,
8Y,CYZ,China Postal Airlines,CHINA POST,China,
8Z,WVL,Wizz Air Bulgaria,WIZZBUL,Bulgaria,
9A,EZX,Eagle Express Air Charter,EAGLEXPRESS,Malaysia,
9C,CQH,Spring Airlines,AIR SPRING,China,
9E,EDV,Endeavor Air,ENDEAVOR,United States,
9E,FLG,Pinnacle Airlines,FLAGSHIP,United States,
9I,LLR,Air India Regional,ALLIED,India,
9I,HTA,Helitrans,SCANBIRD,Norway,
9I,LLR,Thai Sky Airlines,THAI SKY AIR,Thailand,
9K,KAP,Cape Air,CAIR,United States,
9L,CJC,Colgan Air,COLGAN,United States,
9L,TOW,AirTanker Services,TOWLINE,United Kingdom,
9M,GLR,Central Mountain Air,GLACIER,Canada,
9O,,National Airways Cameroon,,Cameroon,
9Q,PBA,PB Air,PEEBEE AIR,Thailand,
9R,VAP,Phuket Air,PHUKET AIR,Thailand,
9T,ABS,Transwest Air,ATHABASKA,Canada,
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova,
9V,VPA,Vipair Airlines,VIAIR,Kazakhstan,defunct
9Y,FGE,Fly Georgia,GEORGIA WING,Georgia,
A0,MCJ,Avianca Argentina,JETMAC,Argentina,Owned by Synergy Group
A2,AZI,Astra Airlines,ASTRA,Greece,
A2,CIU,Cielos Airlines,CIELOS,Peru,
A3,AEE,Aegean Airlines,AEGEAN,Greece,
A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina,
A5,RLA,Airlinair,AIRLINAIR,France,
A5,HOP,Hop!,AIR HOP,France,
A6,LPV,Air Alps Aviation,ALPAV,Austria,
A6,HTU,Hongtu Airlines,HONGLAND,China,
A7,MPD,Air Plus Comet,RED COMET,Spain,
A8,XAU,Aerolink Uganda,PEARL,Uganda,
A8,BGL,Benin Golf Air,BENIN GOLF,Benin,
A9,TGZ,Georgian Airways,TAMAZI,Georgia,
AA,AAL,American Airlines,AMERICAN,United States,
AB,BER,Air Berlin,AIR BERLIN,Germany,defunct
AC,ACA,Air Canada,AIR CANADA,Canada,
AD,PRZ,Air Paradise International,RADISAIR,Indonesia,Defunct 2005
AD,AZU,Azul Linhas Aéreas Brasileiras,Azul,Brazil,
AE,AE,Air Ceylon,,Sri Lanka,defunct
AE,MDA,Mandarin Airlines,MANDARIN,Taiwan,
AF,AFR,Air France,AIRFRANS,France,
AG,ARU,Aruba Airlines,ARUBA,Aruba,
AH,DAH,Air Algérie,AIR ALGERIE,Algeria,
AI,AIC,Air India Limited,AIRINDIA,India,
AJ,NIG,Aero Contractors,AEROLINE,Nigeria,
AK,AXM,AirAsia,RED CAP,Malaysia,ICAO code no longer allocated
AK,ABR,Air Bridge Carriers,AIRBRIDGE,United Kingdom,defunct
AL,SYX,Skywalk Airlines,SKYWAY-EX,United States,(Astral Aviation)
AL,TXC,TransAVIAexport Airlines,TRANSEXPORT,Belarus,
AM,AMX,Aeroméxico,AEROMEXICO,Mexico,
