Airline,Handler
XK,AF Handling BOD
AF,AF Handling BOD
XK,AF Handling LYS
AF,AF Handling LYS
AF,AF Handling LYS
A5,AF Handling LYS
XK,AF Handling MRS
AF,AF Handling MRS
AF,AF Handling MRS
A5,AF Handling MRS
XK,AF Handling NAP
AF,AF Handling NAP
XK,AF Handling NCE
AF,AF Handling NCE
XK,AF Handling NTE
AF,AF Handling NTE
AF,AF Handling NTE
A5,AF Handling NTE
XK,AF Handling ORY
AF,AF Handling ORY
AF,AF Handling ORY
A5,AF Handling ORY
XK,AF Handling TLS
AF,AF Handling TLS
U2,AHO AIRPORT
TO,AHS Berlin TXL
SE,AHS Berlin TXL
U2,AHS DUS
U2,AHS FRA
U2,AHS HAM
U2,AHS Munich
TO,Airport Associates
U2,Airport Handling S.P.A
TO,Airpro Oy KTT
U2,Alyzia Bordeaux
AH,Alyzia Bordeaux
XK,Alyzia Bordeaux
U2,Alyzia Bordeaux
TU,Alyzia Bordeaux
TK,Alyzia Bordeaux
SE,Alyzia CDG
U2,Alyzia Lyon
SU,Alyzia Lyon
U2,Alyzia Lyon
AT,Alyzia Lyon
TU,Alyzia Lyon
TK,Alyzia Lyon
V7,Alyzia Lyon
U2,Alyzia Marseille
XK,Alyzia Marseille
U2,Alyzia Marseille
AT,Alyzia Marseille
TU,Alyzia Marseille
TK,Alyzia Marseille
U2,Alyzia Montpellier
SE,Alyzia Montpellier
U2,Alyzia Nantes
U2,Alyzia Nantes
AT,Alyzia Nantes
TU,Alyzia Nantes
UX,Alyzia ORY
1T,Alyzia ORY
BE,Alyzia ORY
5K,Alyzia ORY
IR,Alyzia ORY
TB,Alyzia ORY
PC,Alyzia ORY
AT,Alyzia ORY
S4,Alyzia ORY
TP,Alyzia ORY
TU,Alyzia ORY
U2,Alyzia Toulouse
AH,Alyzia Toulouse
U2,Alyzia Toulouse
TK,Alyzia Toulouse
V7,Alyzia Toulouse
SE,ARSMEX CUN
SE,ARSMEX VRA
U2,Avia Serve MALTA
U2,Aviapartner ACE
SE,Aviapartner Bordeaux
A3,Aviapartner Bordeaux
EI,Aviapartner Bordeaux
3O,Aviapartner Bordeaux
BT,Aviapartner Bordeaux
AC,Aviapartner Bordeaux
AF,Aviapartner Bordeaux
TS,Aviapartner Bordeaux
5O,Aviapartner Bordeaux
0B,Aviapartner Bordeaux
BA,Aviapartner Bordeaux
SN,Aviapartner Bordeaux
CE,Aviapartner Bordeaux
AY,Aviapartner Bordeaux
BE,Aviapartner Bordeaux
IB,Aviapartner Bordeaux
I2,Aviapartner Bordeaux
KL,Aviapartner Bordeaux
LH,Aviapartner Bordeaux
DY,Aviapartner Bordeaux
BJ,Aviapartner Bordeaux
AT,Aviapartner Bordeaux
FR,Aviapartner Bordeaux
LX,Aviapartner Bordeaux
TP,Aviapartner Bordeaux
TB,Aviapartner Bordeaux
U6,Aviapartner Bordeaux
VY,Aviapartner Bordeaux
W6,Aviapartner Bordeaux
SE,Aviapartner BRU
A3,Aviapartner BRU
EI,Aviapartner BRU
BT,Aviapartner BRU
UX,Aviapartner BRU
TS,Aviapartner BRU
BM,Aviapartner BRU
BA,Aviapartner BRU
OK,Aviapartner BRU
U2,Aviapartner BRU
LY,Aviapartner BRU
ET,Aviapartner BRU
EY,Aviapartner BRU
A5,Aviapartner BRU
IB,Aviapartner BRU
KL,Aviapartner BRU
IG,Aviapartner BRU
BJ,Aviapartner BRU
8Q,Aviapartner BRU
PC,Aviapartner BRU
QR,Aviapartner BRU
AT,Aviapartner BRU
FR,Aviapartner BRU
SV,Aviapartner BRU
XQ,Aviapartner BRU
TP,Aviapartner BRU
HV,Aviapartner BRU
TB,Aviapartner BRU
TU,Aviapartner BRU
TK,Aviapartner BRU
VY,Aviapartner BRU
U2,Aviapartner CTA
TO,Aviapartner FCO
U2,Aviapartner FCO
SE,Aviapartner FCO
U2,Aviapartner FUE
TO,Aviapartner Lille
U2,Aviapartner Lille
SE,Aviapartner Lille
TO,Aviapartner Lyon
SE,Aviapartner Lyon
A3,Aviapartner Lyon
EI,Aviapartner Lyon
AH,Aviapartner Lyon
3O,Aviapartner Lyon
AC,Aviapartner Lyon
XK,Aviapartner Lyon
KM,Aviapartner Lyon
TS,Aviapartner Lyon
OS,Aviapartner Lyon
0B,Aviapartner Lyon
BA,Aviapartner Lyon
SN,Aviapartner Lyon
CE,Aviapartner Lyon
OU,Aviapartner Lyon
EW,Aviapartner Lyon
AY,Aviapartner Lyon
BE,Aviapartner Lyon
I2,Aviapartner Lyon
LS,Aviapartner Lyon
KL,Aviapartner Lyon
LH,Aviapartner Lyon
YM,Aviapartner Lyon
BJ,Aviapartner Lyon
PC,Aviapartner Lyon
XQ,Aviapartner Lyon
TP,Aviapartner Lyon
RO,Aviapartner Lyon
TO,Aviapartner Lyon
TB,Aviapartner Lyon
VY,Aviapartner Lyon
W6,Aviapartner Lyon
U2,Aviapartner Mahon
SE,Aviapartner MRS
A3,Aviapartner MRS
EI,Aviapartner MRS
SU,Aviapartner MRS
AH,Aviapartner MRS
UU,Aviapartner MRS
AC,Aviapartner MRS
MD,Aviapartner MRS
KM,Aviapartner MRS
TS,Aviapartner MRS
AZ,Aviapartner MRS
BA,Aviapartner MRS
SN,Aviapartner MRS
LY,Aviapartner MRS
ET,Aviapartner MRS
EW,Aviapartner MRS
IB,Aviapartner MRS
KL,Aviapartner MRS
LH,Aviapartner MRS
BJ,Aviapartner MRS
PC,Aviapartner MRS
FR,Aviapartner MRS
SK,Aviapartner MRS
XQ,Aviapartner MRS
LX,Aviapartner MRS
TP,Aviapartner MRS
TB,Aviapartner MRS
V7,Aviapartner MRS
VY,Aviapartner MRS
TO,Aviapartner Nantes
SE,Aviapartner Nantes
A3,Aviapartner Nantes
EI,Aviapartner Nantes
YW,Aviapartner Nantes
TS,Aviapartner Nantes
BA,Aviapartner Nantes
SN,Aviapartner Nantes
CE,Aviapartner Nantes
BE,Aviapartner Nantes
IB,Aviapartner Nantes
I2,Aviapartner Nantes
TB,Aviapartner Nantes
KL,Aviapartner Nantes
LH,Aviapartner Nantes
LG,Aviapartner Nantes
BJ,Aviapartner Nantes
FR,Aviapartner Nantes
TP,Aviapartner Nantes
TO,Aviapartner Nantes
V7,Aviapartner Nantes
VY,Aviapartner Nantes
SE,Aviapartner NCE
TS,Aviapartner NCE
OS,Aviapartner NCE
0B,Aviapartner NCE
BA,Aviapartner NCE
SN,Aviapartner NCE
AY,Aviapartner NCE
BE,Aviapartner NCE
IB,Aviapartner NCE
LH,Aviapartner NCE
FV,Aviapartner NCE
SK,Aviapartner NCE
TP,Aviapartner NCE
HV,Aviapartner NCE
TU,Aviapartner NCE
VY,Aviapartner NCE
U2,Aviapartner Palermo
TO,Aviapartner Strasbourg
SE,Aviapartner Strasbourg
SE,Aviapartner Toulouse
A3,Aviapartner Toulouse
EI,Aviapartner Toulouse
3O,Aviapartner Toulouse
AC,Aviapartner Toulouse
XK,Aviapartner Toulouse
TS,Aviapartner Toulouse
BA,Aviapartner Toulouse
SN,Aviapartner Toulouse
IB,Aviapartner Toulouse
I2,Aviapartner Toulouse
KL,Aviapartner Toulouse
LH,Aviapartner Toulouse
BJ,Aviapartner Toulouse
AT,Aviapartner Toulouse
