Nom,type
CDG,airport
ORY,airport
LBG,airport
SID,airport
THF,airport
SCN,airport
TXL,airport
SXF,airport
DRS,airport
FDH,airport
LEJ,airport
FMO,airport
OHD,airport
YYC,airport
IAH,airport
OSA,airport
SSH,airport
IEV,airport
SUB,airport
SPU,airport
PUY,airport
YQG,airport
CPT,airport
STW,airport
YYR,airport
RIX,airport
BZV,airport
ABE,airport
RJK,airport
BDT,airport
BAK,airport
SLL,airport
PEE,airport
SKP,airport
EWR,airport
KRW,airport
KZN,airport
CAY,airport
KSC,airport
RKT,airport
WRO,airport
GOZ,airport
PVK,airport
YFB,airport
NSY,airport
TRS,airport
GME,airport
TJM,airport
BTS,airport
KIR,airport
NSI,airport
AGA,airport
BWI,airport
KUF,airport
AER,airport
PDV,airport
OVB,airport
SOB,airport
FOK,airport
HPN,airport
SIP,airport
TEB,airport
SZZ,airport
RDU,airport
ZAG,airport
TAS,airport
NCU,airport
TUD,airport
KGL,airport
RSC,airport
BGF,airport
MED,airport
ETZ,airport
MQF,airport
DNK,airport
ASM,airport
DME,airport
INI,airport
POS,airport
EVN,airport
CUN,airport
CLE,airport
FPO,airport
LJU,airport
KTW,airport
AZO,airport
MCO,airport
ANU,airport
KRT,airport
FOR,airport
ODS,airport
OMH,airport
YAW,airport
DAC,airport
POP,airport
PEG,airport
BAH,airport
SFK,airport
TIA,airport
BGR,airport
VNO,airport
YOW,airport
BDA,airport
SDQ,airport
HOQ,airport
FAB,airport
JRS,airport
AQJ,airport
KBP,airport
LCY,airport
LWO,airport
NAP,airport
RUN,airport
ROC,airport
MLE,airport
LHE,airport
SHJ,airport
SAV,airport
MSQ,airport
IAD,airport
MCT,airport
DOH,airport
HAV,airport
JED,airport
BWE,airport
PMF,airport
KSF,airport
TOM,airport
EYL,airport
BJL,airport
FUE,airport
TFS,airport
SPC,airport
BTE,airport
GBK,airport
KBA,airport
KEN,airport
FNA,airport
WYE,airport
ALJ,airport
GUD,airport
GAQ,airport
KNZ,airport
KTX,airport
KYS,airport
MZI,airport
NRM,airport
NIX,airport
SZU,airport
KSS,airport
MFQ,airport
NIM,airport
THZ,airport
RLT,airport
ZND,airport
BKO,airport
ASK,airport
BNI,airport
CBQ,airport
ENU,airport
QUS,airport
IBA,airport
ILR,airport
JOS,airport
KAD,airport
KAN,airport
MIU,airport
MDI,airport
PHL,airport
SKO,airport
YOL,airport
ZAR,airport
BQO,airport
BDK,airport
DIM,airport
DJO,airport
DIV,airport
FEK,airport
GGN,airport
GGO,airport
HGO,airport
MJC,airport
KEO,airport
OFI,airport
SEO,airport
SPY,airport
ZSS,airport
TBX,airport
TOZ,airport
XZA,airport
BNR,airport
DGU,airport
XGA,airport
XNU,airport
BOY,airport
TUQ,airport
XDE,airport
XAR,airport
ABO,airport
OGO,airport
BXI,airport
BYK,airport
XLU,airport
PUP,airport
XBO,airport
XBG,airport
DIP,airport
DOR,airport
FNG,airport
XGG,airport
XKA,airport
TMQ,airport
XPA,airport
ARL,airport
XSE,airport
TGE,airport
TML,airport
KMS,airport
NYI,airport
TDK,airport
XKY,airport
OVG,airport
XDJ,airport
EZS,airport
DIY,airport
ERC,airport
TZX,airport
VAN,airport
COO,airport
SSX,airport
VAS,airport
MLX,airport
BTZ,airport
BZI,airport
BDM,airport
CKZ,airport
ESK,airport
SBZ,airport
SIU,airport
SCV,airport
TCE,airport
TGM,airport
TSR,airport
ANK,airport
UAB,airport
AFY,airport
GZT,airport
ASR,airport
KYA,airport
PDL,airport
PIX,airport
PRM,airport
PXO,airport
RAI,airport
SIE,airport
VRL,airport
VSE,airport
ARW,airport
BCM,airport
BAY,airport
CLI,airport
CSB,airport
CRA,airport
IAS,airport
OMR,airport
SMA,airport
BCZ,airport
CHV,airport
COV,airport
EVA,airport
FLW,airport
GRW,airport
HOR,airport
OLR,airport
TER,airport
MJO,airport
KLV,airport
OSR,airport
SLD,airport
BEV,airport
ETH,airport
HFA,airport
RPN,airport
XXA,airport
SJJ,airport
BOB,airport
MOZ,airport
KDD,airport
KDU,airport
BLR,airport
LFW,airport
SJF,airport
JSU,airport
THU,airport
UMD,airport
JUV,airport
ALY,airport
ABS,airport
HRG,airport
MUH,airport
ULV,airport
ASW,airport
ELT,airport
WIL,airport
MBX,airport
OMO,airport
OSI,airport
PRN,airport
CBR,airport
SYD,airport
AGM,airport
JCH,airport
DUN,airport
JEG,airport
JFR,airport
JGR,airport
GOH,airport
JGO,airport
JHS,airport
JJV,airport
JAV,airport
KUS,airport
MRG,airport
JNN,airport
JNS,airport
OBY,airport
NIC,airport
ATH,airport
BRQ,airport
CND,airport
ESB,airport
ADA,airport
GIB,airport
DBV,airport
TIV,airport
ZAD,airport
DNW,airport
HIR,airport
MEB,airport
MEL,airport
ADL,airport
PER,airport
LBV,airport
DLA,airport
NDJ,airport
FIH,airport
LPA,airport
DKR,airport
BEN,airport
MIA,airport
FDF,airport
PTP,airport
SXM,airport
IST,airport
KEF,airport
ACE,airport
TCI,airport
LXR,airport
LTD,airport
BOJ,airport
SOF,airport
VAR,airport
GIG,airport
SDU,airport
RIO,airport
GRU,airport
VCP,airport
CGH,airport
