Handler,Group
Alyzia CDG,3S
Alyzia ORY,3S
Nice Handling,GEH
GEH Belgrade,GEH
Sky Handling Cork,GEH
Sky Handling Shannon,GEH
Sky handling Dublin,GEH
Sky Handling Heathrow,GEH
Sky Handling Boston,GEH
Melendez BCN,Melendez
Melendez ACE,Melendez
Melendez AGP,Melendez
Melendez TFS,Melendez
Melendez FUE,Melendez
Melendez IBZ,Melendez
Melendez LPA,Melendez
Melendez MAD,Melendez
Melendez PMI,Melendez
Melendez XRY,Melendez
TS Antilles FDF,TS Antilles
TS Antilles PTP,TS Antilles
Swissport SFO,Swissport
Swissport AZS,Swissport
Gozenair ADB,Gozen Air Services
Swissport JFK,Swissport
Groundforce FNC,Groundforce
Aviapartner Toulouse,Aviapartner
Swissport BHX,Swissport
Aviapartner BRU,Aviapartner
Aviapartner MRS,Aviapartner
Swissport Volos,Swissport
Swissport PUJ,Swissport
Goldair HER,Goldair
Swissport POP,Swissport
Swissport MIA,Swissport
Swissport LRM,Swissport
Swissport LGW,Swissport
Swissport OTP,Swissport
Aviapartner NCE,Aviapartner
Aviapartner Bordeaux,Aviapartner
Havas HAM,Havas
Iberia Airport Service VLC,Iberia handling
Iberia Airport Service GRX,Iberia handling
Iberia Airport Service VLL,Iberia handling
Swissport EDI,Swissport
Aviapartner MPL,Aviapartner
Melendez MAH,Melendez
