Nom,type
Abelair Aviation,handler
Aeroplan,handler
AF Handling BOD,handler
AF Handling LYS,handler
AF Handling MRS,handler
AF Handling NAP,handler
AF Handling NCE,handler
AF Handling NTE,handler
AF Handling ORY,handler
AF Handling TLS,handler
AHO AIRPORT,handler
AHS Berlin TXL,handler
AHS DUS,handler
AHS FRA,handler
AHS HAM,handler
AHS Munich,handler
Airport Associates,handler
Airport Handling S.P.A,handler
Airpro Oy KTT,handler
Alyzia Bordeaux,handler
Alyzia CDG,handler
Alyzia Lyon,handler
Alyzia Marseille,handler
Alyzia Montpellier,handler
Alyzia Nantes,handler
Alyzia ORY,handler
Alyzia Toulouse,handler
ARSMEX CUN,handler
ARSMEX VRA,handler
Avia Serve MALTA,handler
Aviapartner ACE,handler
Aviapartner Bordeaux,handler
Aviapartner BRU,handler
Aviapartner CTA,handler
Aviapartner FCO,handler
Aviapartner FUE,handler
Aviapartner Lille,handler
Aviapartner Lyon,handler
Aviapartner Mahon,handler
Aviapartner MPL,handler
Aviapartner MRS,handler
Aviapartner Nantes,handler
Aviapartner NCE,handler
Aviapartner Palermo,handler
Aviapartner Strasbourg,handler
Aviapartner Toulouse,handler
Aviapartner VCE,handler
AVIATION SOLUTION BERLIN,handler
AVIATOR,handler
BES AIRPORT,handler
BIQ AIRPORT,handler
BOJ airport,handler
Bratislava Airport,handler
CAG AIRPORT,handler
Casavia Ajaccio,handler
Casavia Bastia,handler
Casavia Calvi,handler
Celebi AYT,handler
CFE Airport,handler
CFR airport,handler
Chambery Airport,handler
CRL Airport,handler
DHL Gatwick,handler
DHL Luton,handler
DLE Airport,handler
Dnata,handler
DTM AIRPORT,handler
Dubrovnik Airport,handler
EMAS Egyptian Marsa Alam Aviation Services,handler
FSC AIRPORT,handler
GEASAR,handler
GEH Belgrade,handler
GEH CDG,handler
GEH ORY,handler
GH Brindisi,handler
GH ITALIA Verona,handler
GH Napoli,handler
GH Palermo,handler
GH VENEZIA IT,handler
GIB AIRPORT,handler
GLOBE GROUND Malta,handler
GNB AIRPORT,handler
GOA AIRPORT,handler
Goldair HER,handler
Goldair Sofia,handler
Gozenair,handler
GROUNDFORCE BIO,handler
Groundforce FNC,handler
GROUNDFORCE VLC,handler
GTL LOT Airport Services,handler
HAVAS DLM,handler
HAVAS Ground Handling ADB,handler
HAVAS Ground Handling AYT,handler
HAVAS Ground Handling BJV,handler
Hurghada,handler
Iberia Airport Service GRX,handler
Iberia Airport Service VLC,handler
Iberia Airport Service VLL,handler
INV AIRPORT,handler
Laufer Aviation TLV,handler
Laufer Aviation VDA,handler
LGS HANDLING Larnaca,handler
LIN AIRPORT HANDLING,handler
Link Aero Trading Agency,handler
LINK Aero Trading Jordan,handler
LJUBLJANA Airport,handler
LRT airport,handler
LS AIRPORT,handler
LUX AIRPORT,handler
Malev ground handling BUD,handler
Matotte Air Services,handler
Melendez ACE,handler
Melendez AGP,handler
Melendez BCN,handler
Melendez FUE,handler
Melendez IBZ,handler
Melendez LPA,handler
Melendez MAD,handler
Melendez MAH,handler
Melendez PMI,handler
Melendez TFS,handler
Melendez XRY,handler
Menzies ABZ,handler
Menzies AGP,handler
Menzies ALC,handler
Menzies AMS,handler
Menzies ARN,handler
Menzies BCN,handler
Menzies BHX,handler
Menzies Budapest,handler
Menzies IBZ,handler
Menzies IOM,handler
Menzies LEI,handler
Menzies MAD,handler
Menzies MAN,handler
Menzies MJV,handler
Menzies NCE,handler
Menzies PMI,handler
Menzies PRG,handler
Menzies SCQ,handler
Menzies SVQ,handler
Menzies Tenerife Sud,handler
Nassau flt services,handler
Nice Handling,handler
OFS Orly Flight Services,handler
PISA AIRPORT,handler
Portway FAO,handler
Portway FNC,handler
Portway LIS,handler
Portway OPO,handler
PRN AIRPORT,handler
PUY AIRPORT,handler
QAS ISRAEL,handler
RNS AIRPORT,handler
Royal Air Maroc Agadir,handler
Royal Air Maroc Esuat,handler
Royal Air Maroc Handling Oujda,handler
Royal Air Maroc RAK,handler
Royal Air Maroc TNG,handler
Royal Air Maroc TTU,handler
RTG Ground Handling Oy,handler
SAS BOO,handler
SAS Ground Handling Norway,handler
SAS TOS,handler
SAS TRD,handler
SHS Dakar,handler
Sky Handling Boston,handler
Sky Handling Cork,handler
Sky handling Dublin,handler
Sky Handling Heathrow,handler
Sky Handling Shannon,handler
Skyserv Alexandroupolis,handler
